Organization,Division,Industry,Country,SDG_Goals,Year Range Start,URL,File Type,Flag,Last Scraped
Telstra,Division J,Information Media And Telecommunications,AU,"Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 5. Achieve gender equality and empower all women and girls, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.telstra.com.au/content/dam/tcom/about-us/community-environment/pdf/Telstra-Bigger-Picture-Sustainability-Report-2023-Remediated.pdf,PDF,Trusted,20/04/2025
Telstra,Division J,Information Media And Telecommunications,AU,"Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 5. Achieve gender equality and empower all women and girls, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://infraco.telstra.com.au/content/dam/tcom/about-us/community-environment/pdf/2024-Telstra-Bigger-Picture-Sustainability-Report-Remediated.pdf,PDF,Trusted,20/04/2025
Telstra,Division J,Information Media And Telecommunications,AU,"Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 5. Achieve gender equality and empower all women and girls, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.telstrainternational.com/content/dam/tcom/about-us/community-environment/pdf/Telstra-Bigger-Picture-Sustainability-Report-2023.pdf,PDF,Trusted,20/04/2025
Telstra,Division J,Information Media And Telecommunications,AU,"Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 5. Achieve gender equality and empower all women and girls, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.csl.com/-/media/shared/documents/annual-report/csl-annual-report-2023.pdf,PDF,Third-party,20/04/2025
Telstra,Division J,Information Media And Telecommunications,AU,"Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 5. Achieve gender equality and empower all women and girls, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.telstrainternational.com/content/dam/tcom/about-us/community-environment/pdf/2024-Telstra-Modern-Slavery-Act-Statement-Remediated.pdf,PDF,Trusted,20/04/2025
Telstra,Division J,Information Media And Telecommunications,AU,"Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 5. Achieve gender equality and empower all women and girls, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.bhp.com/-/media/documents/investors/annual-reports/2023/230822_bhpannualreport2023.pdf,PDF,Third-party,20/04/2025
Optus,Division J,Information Media And Telecommunications,AU,"Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 5. Achieve gender equality and empower all women and girls, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://cdn.aws.singtel.com/sustainabilityreport/2023/download/02-download-files/1-Full%20Report/Singtel-Group-Sustainability-Report-2023.pdf,PDF,Third-party,20/04/2025
Optus,Division J,Information Media And Telecommunications,AU,"Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 5. Achieve gender equality and empower all women and girls, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.optus.com.au/content/dam/optus/documents/about-us/sustainability/reporting/2024/Optus-Sustainability-Report-FY2024-Final2.pdf,PDF,Trusted,20/04/2025
Optus,Division J,Information Media And Telecommunications,AU,"Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 5. Achieve gender equality and empower all women and girls, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.optus.com.au/content/dam/optus/documents/about-us/sustainability/reporting/2023/fy2023-optus-sustainability-report.pdf,PDF,Trusted,20/04/2025
Optus,Division J,Information Media And Telecommunications,AU,"Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 5. Achieve gender equality and empower all women and girls, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://media.aws.singtel.com/info-singtel/sr2024/Singtel-Group-Sustainability-Report-2024.pdf,PDF,Third-party,20/04/2025
