Organization,Country,SDG Goal,SDG Question,Answer Options,SDG Goal ID,SDG Ques ID,Industry,Filtered Content,URL,Page number,Document Type,Publication Date,Last updated Date
ABC (abc-cdn),AU,Goal 12. Ensure sustainable consumption and production patterns,"In your organization, what is the recycling rate (measured by sum of recyclables + organics divided by total garbage, as the percentage of of all waste that is recycled? ",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S003,Q003,Information Media And Telecommunications,"[Page 4] Foreword  from the Chair 1	 ABC Corporate Tracking Program, 2023–2024 Annual Performance Statements.",https://live-production.wcms.abc-cdn.net.au/b4ee2afa69a0f6e1a000c42aeb27ed01,4,PDF,2024,2025-04-23T05:30:15.236265
AGL Energy (agl),AU,Goal 12. Ensure sustainable consumption and production patterns,"In your organization, what is the recycling rate (measured by sum of recyclables + organics divided by total garbage, as the percentage of of all waste that is recycled? ",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S003,Q003,Electricity Gas Water And Waste Services,"[Page 192] AGL used a discount rate of 6.86% in calculating the provision for environmental rehabilitation as at 30  June 2024. | [Page 91] Percentage of fixed remuneration (FR). | [Page 109] Percentage of fixed remuneration (FR). | [Page 201] Revenue related metrics:  •  Green revenue as a % of total revenue (%) presented on pages 63 and 77. | [Page 192] The estimation of provision for environmental rehabilitation is a highly judgemental area as it involves  several key estimates including:  •  Forecasting future costs which are impacted by:  o  the extent of environmental rehabilitation activities required;  o  available technologies;  o  application of environmental legislation and ongoing communication with regulatory bodies;   o  mining licenses and ownership agreements; and  o  quantity and rate estimation for environmental rehabilitation activities, including the  assessment of applicable contingencies. | [Page 139] 2023 Plant and equipment $m Right-of-use  plant  and equipment $m Other Right-of- use assets $m Other $m Total $m Balance at 1 July 2022, net of accumulated  depreciation and impairment 5,762 3 164 84 6,013 Additions 496 103 2 3 604 Impairment loss recognised in profit or loss (987) - (4) - (991) Change in estimate related to provision for  environmental rehabilitation 399 - - - 399 Disposals (2) - - - (2) Reversal of impairment1 51 - - - 51 Reclassified to held for sale (130) - - (1) (131) Depreciation expense (505) (7) (13) - (525) Balance at 30 June 2023, net of accumulated  depreciation and impairment 5,084 99 149 86 5,418 1. | [Page 138] 2024 Plant and equipment $m Right-of-use  plant  and equipment $m Other Right-of- use assets $m Other $m1 Total $m Balance at 1 July 2023, net of accumulated  depreciation and impairment 5,084 99 149 86 5,418 Additions 695 8 34 1 738 Impairment loss recognised in profit or loss (7) - - - (7) Change in estimate related to provision for  environmental rehabilitation2 126 - - - 126 Disposals (9) - - - (9) Reversal of impairment3 - - 1 - 1 Depreciation expense (530) (8) (12) - (550) Balance at 30 June 2024, net of accumulated  depreciation and impairment 5,359 99 172 87 5,717 1. | [Page 50] A per unit rate ($/MWh for electricity and $/GJ for gas) is derived from each category of revenue and cost using the relevant associated volumes.",https://www.agl.com.au/content/dam/digital/agl/documents/about-agl/investors/2024/240814-2024--annual-report.pdf | https://www.agl.com.au/content/dam/digital/agl/documents/about-agl/investors/2023/230810-agl-energy-limited-annual-report-2023-4-4-asx.pdf,192 | 109 | 139 | 201 | 138 | 91 | 50,PDF,2024,2025-04-23T05:08:01.780932
Aboriginal Medical Service Cooperative Limited (AMSRedfern),AU,Goal 12. Ensure sustainable consumption and production patterns,"In your organization, what is the recycling rate (measured by sum of recyclables + organics divided by total garbage, as the percentage of of all waste that is recycled? ",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S003,Q003,Health Care And Social Assistance,"[Page 6] Financials For the year ended 30 June 2023 AS AT 30 June 2023 Statement of Financial Position Statement of Profit or Loss and Other Comprehensive Income Notes 2023 2022 $ $ Income Revenue  3 12,355,792 10,136,569 Other Income  3 272,349 150,558 Total Income 12,628,141 10,287,127 Expenditure Employee benefits expense  4 7,502,494 6,588,942 Depreciation and amortisation expense 400,602 348,337 Clinical costs 506,002 235,587 Property and utilities costs 934,693 654,560 IT costs 183,561 172,172 Promotional costs 24,204 40,412 Professional costs 356,682 390,481 Other costs 463,868 415,300 Total expenditure 10,372,106 8,845,791 Surplus for the year 2,256,035 1,441,336 Other comprehensive income - - Total comprehensive income for the period 2,256,035 1,441,336 Notes 2023 2022 $ $ Assets Current Cash and cash equivalents  5 14,735,560 12,563,290 Trade and other receivables  6 31,400 117,135 Other assets  7 463,470 310,757 Current assets 15,230,430 12,991,182 Non-current Financial assets  8 2,427 1,858 Property, plant and equipment  9 6,995,548 6,855,284 Right of use assets  13 - 9,332 Other assets  7 2,336 2,336 Non-current assets 7,000,311 6,868,810 Total assets 22,230,741 19,859,992 Liabilities Current Trade and other payables  10 452,972 323,180 Contract liability  11 873,885 961,553 Provisions  12 769,926 714,538 Lease liabilities  13 Current liabilities 2,096,783 2,009,650 Non-current Provisions  12 182,937 155,356 Share capital payable on demand  14 97 97 Non-current liabilities 183,034 155,453 Total liabilities 2,279,817 2,165,103 Net assets 19,950,924 17,694,889 Funds Accumulated funds  15 19,950,924 17,694,889 Total funds 19,950,924 17,694,889 11 10	 Aboriginal Medical Service Co-operative Limited Annual Report 2022-2023 11 11 10	 Aboriginal Medical Service Co-operative Limited Annual Report 2022-2023 11",https://amsredfern.org.au/wp-content/uploads/2023/11/AMS-Redfern-Annual-Report-2022-23-v7-DIGITAL.pdf,6,PDF,2023,2025-04-16T22:25:57.437008
ActewAGL (iconwater),AU,Goal 12. Ensure sustainable consumption and production patterns,"In your organization, what is the recycling rate (measured by sum of recyclables + organics divided by total garbage, as the percentage of of all waste that is recycled? ",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S003,Q003,Electricity Gas Water And Waste Services,"[Page 49] 1.	 30% of paper purchased contained 20% or more recycled content. | [Page 48] We have reduced the amount of  waste sent to landfill by 25 per cent  compared to the previous financial  year. | [Page 18] We also recycled approximately  2 GL of treated effluent onsite with  the remaining volume accounted  for in losses through the solids  management process. | [Page 48] We continued our focus on resource  recovery of our waste streams  and recycled 79 per cent of our  operational waste during 2022–23,  including:  	 Over 4,860 tonnes of biosolids- derived Agri-Ash was used as a  soil conditioner by local farmers. | [Page 49] secure paper) Tonnes 13.25 9.97  +33% Organic material recycled4 Tonnes 0 0  0 Greenhouse gas emissions Emissions from natural gas use (non-transport) Tonnes CO2-e 2,703 2,726  -0.8 Emissions diesel use (non-transport) Tonnes CO2-e 22 26  -15% Emissions from transport fuel use Tonnes CO2-e 1,108 889  +25 Total emissions5 Tonnes CO2-e 17,997 18,593  -3% Additional table notes 	- Electricity use includes onsite renewable energy. | [Page 49] Table 15: Sustainable development performance  Indicator as at 30 June Unit Current Previous Percentage  change Stationary energy usage  Electricity use Kilowatt hours 34,890,170 34,255,114 +2 Natural gas use (non-transport) Megajoules 41,824,941 42,179,530  -1 Diesel use (non-transport) Kilolitres 6.5 9.1  -33 Transport fuel usage  Battery electric vehicles  Number 2  0   NA Hydrogen fuel cell electric vehicles Number 0 0 0 Plug in hybrid electric vehicles Number 1 1  0 Hybrid electric vehicles Number 2 0  NA Internal combustion engine Number 130 135 -4% Total number of vehicles Number 132 135  -2% Fuel use – Petrol Kilolitres 8.4 8.2  +2% Fuel use – Diesel Kilolitres 319.8 332.1  -4% Fuel use – Liquid petroleum gas  Kilolitres 0.1 0.1  0 Fuel use – Compressed natural gas  Gigajoules 0 0  0 Water usage Water use Kilolitres 64,628   121,262  -47% Resource efficiency and waste Reams of paper purchased Reams 475 673  -29% Recycled content of paper purchased1 Percentage 30% 43%  -30% Waste to landfill2 Tonnes 2601 3,472  -25% Co-mingled material recycled3 Tonnes 2.16 1.56  +38% Paper and cardboard recycled (incl. | [Page 49] 2.	 The reduction in waste to landfill is largely attributed to a significant reduction in the amount of screenings being sent to landfill. | [Page 49] - Estimates are provided for 2022–23 resource efficiency and waste data as not all invoicing has been received at the time of data collection.",https://www.iconwater.com.au/sites/default/files/2023-10/Icon%20Water%20Annual%20Report%202022-23.pdf,49 | 48 | 18,PDF,2023,2025-04-23T05:07:22.967650
Anglo American Australia (angloamerican),AU,Goal 12. Ensure sustainable consumption and production patterns,"In your organization, what is the recycling rate (measured by sum of recyclables + organics divided by total garbage, as the percentage of of all waste that is recycled? ",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S003,Q003,Mining,"[Page 90] 90 Anglo American plc Sustainability Report 2024 Healthy environment   Circular economy, waste  and materials stewardship Tonnes of waste by waste activity Landfill 172,318 Hazardous waste:  28,367 Non-hazardous waste:  143,951 Incineration without  energy recovery 2,190 Hazardous waste:  1,296 Non-hazardous waste:  894 Incineration with  energy recovery 3,500 Hazardous waste:  1,777 Non-hazardous waste:  1,722 Recycled  and re-used 466,339 Hazardous waste:  151,993 Non-hazardous waste:  314,346 Diversion rate: 74% | [Page 49] By the end of 2023*, we had  achieved a 99% reduction from this 2013  baseline, with only 0.41kt of waste going  to landfill. | [Page 115] In terms of water efficiency, we  increased re-use and recycling to 91% at  our mining operations. | [Page 49] 2016 2015 2014 2013 2017 2018 2019 2020 2021 2022 2023 18.11 22.12 18.86 21.33 12.79 7.9 4.12 1.798 0.022 0.067 0.407 25 20 15 10 5 0 Total waste to landﬁll   (kt) ■ 2021 2022 2023 Waste to  incineration Waste reused  Waste  recycled  Waste to  landfill 1 731 3 587 2 003 7 524 10 811 7 896 18 079 17 285 22 502 22 67 407 20 000 15 000 1 0 000 5 000 0 Total waste  (t) Formal waste contracts have  been set up with external  suppliers to improve service  delivery and turnaround  times. | [Page 236] The recoverable amount is assessed with  reference to fair value less costs of disposal, as this is higher than the  value in use model for the Group’s assets. | [Page 249] The recoverable amount is assessed with reference  to fair value less costs of disposal, as this is higher than the value in use  model for the Group’s assets. | [Page 22] Recycled  PGMs are made up of 20% of recycled  platinum, 33% of palladium and 32% of  rhodium supply. | [Page 137] GRI 306: Waste 2020 Indicator Disclosure Reference 306-1  Waste generation and significant waste- related impacts SR: 90-91 306-2  Management of significant waste-related impacts SR: 90-91 306-3  Waste generated SR: 90 306-4  Waste diverted from disposal SR: 90 306-5  Waste directed to disposal SR: 90 GRI 308: Supplier Environmental Assessment 2016 Indicator Disclosure Reference 308-1  New suppliers that were screened using  environmental criteria SR: 122-125 308-2  Negative environmental impacts in the supply  chain and actions taken SR: 122-125 GRI 401: Employment 2016 Indicator Disclosure Reference 401-1  New employee hires and employee turnover SR: 42; More on sustainability data tables.",https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v5/PLC/investors/annual-reporting/2023/sustainability-report-2023.pdf | https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2023/aa-annual-report-full-2023.pdf | https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/sustainability-report-plc-2024.pdf | http://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2024/aa-annual-report-full-2024.pdf,115 | 90 | 249 | 49 | 137 | 236 | 22,PDF,2025,2025-04-23T04:58:43.018723
Australian Health Practitioner Regulation Agency (AHPRA),AU,Goal 12. Ensure sustainable consumption and production patterns,"In your organization, what is the recycling rate (measured by sum of recyclables + organics divided by total garbage, as the percentage of of all waste that is recycled? ",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S003,Q003,Health Care And Social Assistance,"[Page 113] 113 Ahpra and the National Boards annual report 2023/24 Note C2: Property, plant and equipment (PPE) Right-of-use  property $’000 Leasehold  improvements $’000 Furniture  and fittings $’000 Computer  equipment $’000 Office  equipment $’000 Work in  progress $’000 Total property, plant  and equipment $’000 At cost Balance at 1 July 2022 58,111 16,298 1,468 9,238 387 0 85,502 Additions 98 5161 371 1,784 14 0 2,783 Disposals/write-offs 0 0 0 (1,547) 0 0 (1,547) Balance at 30 June 2023 58,209 16,814 1,839 9,475 401 0 86,738 Additions 0 0 0 0 0 6,993 6,993 Disposals/write-offs 0 (3,943) (388) (283) (188) 0 (4,802) Transfer to additions 113 28 3 842 26 (1,012) 0 Balance at 30 June 2024 58,322 12,899 1,454 10,034 239 5,981 88,929 Accumulated depreciation  Balance at 1 July 2022 (21,601) (10,467) (897) (8,054) (236) 0 (41,255) Depreciation charge  during the year (7,503) (1,355) (179) (1,163) (40) 0 (10,240) Disposals/write-offs 0 0 0 1,547 0 0 1,547 Balance at 30 June 2023 (29,104) (11,822) (1,076) (7,670) (276) 0 (49,948) Depreciation charge  during the year (7,486) (1,356) (211) (1,354) (40) 0 (10,447) Disposals/write-offs 0 3,938 330 282 151 0 4,701 Balance at 30 June 2024 (36,590) (9,240) (957) (8,742) (165) 0 (55,694) Net book value At 30 June 2023 29,105 4,992 763 1,805 125 0 36,791 At 30 June 2024 21,732 3,659 497 1,292 74 5,981 33,235 1.	 This includes $9k completed projects transferred in from work in progress. | [Page 118] That is, it is the rate  that exactly discounts the estimated future cash flows  through the expected life of the instrument to the net  carrying amount at initial recognition.",https://www.ahpra.gov.au/documents/default.aspx?record=WD24/34233&dbid=AP&chksum=xoPTWRKlV3mpl0kF4EtGBw%3d%3d,113 | 118,PDF,nan,2025-04-16T22:26:24.290583
Australian Healthcare and Hospitals Association (AHHA),AU,Goal 12. Ensure sustainable consumption and production patterns,"In your organization, what is the recycling rate (measured by sum of recyclables + organics divided by total garbage, as the percentage of of all waste that is recycled? ",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S003,Q003,Health Care And Social Assistance,[Page 29] It is  estimated that these alone account for 3% of the  National Health System’s (NHS) carbon footprint  in the UK3.,https://ahha.asn.au/wp-content/uploads/2024/11/The-Health-Advocate-November-2024.pdf,29,PDF,2024,2025-04-16T22:26:15.568637
BHP,AU,Goal 12. Ensure sustainable consumption and production patterns,"In your organization, what is the recycling rate (measured by sum of recyclables + organics divided by total garbage, as the percentage of of all waste that is recycled? ",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S003,Q003,Mining,"[Page 66] 30 per cent will be  calculated based on the areas of land and water that we steward at the end of FY2030. | [Page 63] 30 per cent will be calculated based  on the areas of land and water that we steward at the end of FY2030. | [Page 15] 30 per cent will be  calculated based on the areas of land and water that we steward at the end of FY2030. | [Page 36] 30 per cent will be  calculated based on the areas of land and water that we steward at the end of FY2030. | [Page 227] Net value per concentrator hour (US$/h) incorporating all material  revenue and cost factors and includes metallurgical recovery (see  footnote 11 for averages). | [Page 227] Net value per concentrator hour (US$/h) incorporating all material  revenue and cost factors and includes metallurgical recovery (see  footnote 11 for averages). | [Page 248] Yield  The percentage of material of interest that  is extracted during mining and /or processing. | [Page 64] In FY2024 the significant decrease in water re-use and recycling at Pampa Norte was primarily due to a change in the methodology for calculating  reused and recycled water, using measured values in calculations instead of estimations.",https://www.bhp.com/-/media/documents/investors/annual-reports/2024/240827_bhpannualreport2024.pdf,66 | 227 | 15 | 63 | 248 | 36 | 64,PDF,2024,2025-04-23T05:46:08.294950
Baxter Professional Australia (baxter),AU,Goal 12. Ensure sustainable consumption and production patterns,"In your organization, what is the recycling rate (measured by sum of recyclables + organics divided by total garbage, as the percentage of of all waste that is recycled? ",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S003,Q003,Manufacturing,"[Page 30] 77.1%  overall recycling rate***  9.0%  overall reduction in  waste generation* *Compared with 2020 and indexed to revenue. | [Page 31] 71,200   metric tons  Total Waste* Nonhazardous Waste Regulated Waste** 5,300  metric tons  (7.5% of total waste) 14.0%  decrease in absolute  terms, compared  with 2020 20.2% decrease indexed to  revenue, compared  with 2020 65,900  metric tons  (92.5% of total  waste) 0.9% decrease in  absolute terms,  compared with 2020 8.0% decrease indexed  to revenue,  compared with 2020 Recycling*** 79.6%  of nonhazardous waste recycled 77.1%  overall  recycling rate  48.6%  of regulated waste recycled $2.5  million in net income generated through recycling Photo:  Wool liners protect  and insulate compounded  products in Australia and  New Zealand. | [Page 23] 23 2023 CORPORATE RESPONSIBILITY REPORT SECTION AND INDICATOR 2021 2022 2023 Implement Strategic Materials and Waste Management Plans2, 8  (continued) Regulated Waste24 (metric tons) 6,600 7,800 8,500 Americas 2,600 3,200 3,300 EMEA 3,200 3,900 4,600 Asia Pacific 800 700 600 Regulated Waste per Million Dollars of Sales10 (metric tons) – 0.5 0.6 Regulated Waste Diverted from Landfill23 (%) 43.9% 54.4% 25.4% Waste Management at Baxter (% of total) Recycled 65.3% 71.1% 62.2% Incinerated with Energy Recovery 13.4% 7.1% 9.6% Incinerated 4.7% 2.9% 5.4% Sent to Landfill 14.3% 13.3% 13.6% Other Disposal 2.3% 5.6% 9.2% Electronic Equipment Recovered by Vendors in the EU on Baxter’s  Behalf 25 (metric tons)  110 83 127 PVC and Aluminum Recycling Programs for Hospitals and Dialysis Clinics26 Australia PVC Collected for Recycling (metric tons) 140 97.6 120 Participating Hospitals – 258 197 Aluminum Bottles Recycled (metric tons) 0.5 1.8 2.4 Participating Hospitals – 180 69 New Zealand PVC Collected for Recycling (metric tons) – 10 21 Participating Hospitals – 23 30 Aluminum Bottles Recycled (metric tons) – 0.2 0.1 Participating Hospitals – 4 5 Colombia PVC Recycled (metric tons) 69.4 44.5 69.2 Participating Dialysis Clinics 43 43 27 PVC Recycled from Home Dialysis Patients (metric tons) 38.4 40.1 41.1 Guatemala PVC and Other Plastics Recycled (metric tons) 15.3 16.9 17.0 United States PVC Recycled at Pilot Hospital (metric tons) 1.0 1.3 2.3 Environmental, Health, Safety and Sustainability Governance and Additional Disclosures2 Baxter Toxics Release Inventory Air Releases27 (metric tons) 16 14 – NOx and SOx Emissions28 (metric tons) 471 504 468 NOx 352 362 365 SOx 118 142 103 NOx and SOx Emissions per Million Dollars of Sales10  (kg) – 35 32 SECTION AND INDICATOR 2021 2022 2023 Environmental, Health, Safety and Sustainability Governance and Additional Disclosures2  (continued) ISO Certifications ISO-Certified Baxter Locations 62 63 63 ISO 14001-Certified Baxter Locations 61 62 62 ISO 45001-Certified Baxter Locations 45 46 43 ISO-Certified Baxter Manufacturing Locations29 47 46 45 ISO-Certified Baxter Manufacturing Locations29 (%) 78% 73% 76% Environmental Compliance Environmental Notices of Violation 12 9 15 Environmental Fines Paid ($) $0  $0  $200  Product Materials Products Tested (cumulative) 173 539 583 Parts Tested (cumulative) 16,500+ 25,300+ 30,700+ Increase Representation of Women and Ethnic Minorities in Leadership Roles3 Global Workforce by Gender (as a % of total) Women 48.4% 47.2% 47.0% Men 51.6% 52.8% 53.0% Representation of Women by Region (as a % of total) Americas 49.5% 47.3% 47.1% EMEA 48.9% 48.0% 47.6% Asia Pacific 45.5% 46.1% 46.0% Representation of Women by Job Level (as a % of total) Vice President and Above 31.6% 31.3% 34.9% Director 37.1% 36.1% 37.4% Manager 42.1% 40.4% 40.2% Professional30 47.8% 48.3% 48.0% Ethnic Representation (as a % of total, U.S. | [Page 22] 22 2022 CORPORATE RESPONSIBILITY REPORT Appendix: Data Summary 1 (continued) SECTION AND INDICATOR 2020 2021 2022 Implement Strategic Materials and Waste Management Plans5  (continued) Regulated Waste20 (metric tons) 8,500 7,900 7,600 Americas 3,000 2,700 3,100 EMEA 4,800 4,400 3,900 Asia Pacific 700 800 700 Metric Tons of Regulated Waste per Million Dollars of Sales7 – – 0.5 Regulated Waste Recycled19 (%) 49.6% 48.6% 53.4% Waste Management at Baxter (% of total) Recycled (on-site or off-site) 59.1% 61.7% 70.8% Incinerated with Energy Recovery 18.3% 15.2% 7.4% Incinerated 5.0% 5.3% 3.1% Sent to Landfill 15.7% 15.8% 13.1% Other Disposal 2.0% 1.9% 5.6% Electronic Equipment Recovered by Vendors in the EU on Baxter’s  Behalf 21 (metric tons)  180 110 83 PVC and Aluminum Recycling Programs for Hospitals and Dialysis Clinics22 Australia PVC Collected for Recycling (metric tons) 129 140 97.6 Participating Hospitals 248 – 258 Aluminum Bottles Recycled (metric tons) 1 0.5 1.8 Participating Hospitals 66 – 180 Home Dialysis Patients Participating in Program 863 – 876 New Zealand PVC Collected for Recycling (metric tons) – – 10 Participating Hospitals 39 – 23 Aluminum Bottles Recycled (metric tons) 0.1 – 0.2 Participating Hospitals 22 – 4 Home Dialysis Patients Participating in Program 110 – 106 Colombia PVC Recycled (metric tons) 49.6 69.4 44.5 Participating Dialysis Clinics 45 43 43 PVC Recycled from Home Dialysis Patients (metric tons) 14.7 38.4 40.1 Guatemala PVC and Other Plastics Recycled (metric tons) 16.5 15.3 16.9 United States PVC Recycled at Pilot Hospital (metric tons) 0.6 1.0 1.3 SECTION AND INDICATOR 2020 2021 2022 Environmental, Health, Safety and  Sustainability Governance and Additional Disclosures Baxter Toxics Release Inventory Air Releases23 (metric tons) 19 16 – NOx and SOx Emissions24 (metric tons) 584 581 590 NOx 451 466 465 SOx 134 115 125 Kg NOx and SOx Emissions per Million Dollars of Sales7 – – 39 ISO Certifications ISO Certified Baxter Locations 59 62 63 ISO 14001 Certified Baxter Locations 59 61 62 ISO 45001 Certified Baxter Locations 44 45 46 ISO Certified Baxter Manufacturing Locations25 45 47 46 ISO Certified Baxter Manufacturing Locations25 (%) 86.5% 78% 73% Environmental Compliance Environmental Notices of Violation 5 12 7 Environmental Fines Paid (in dollars) $861 $0 $0 Product Materials Products Tested (cumulative) 127 173 539 Parts Tested (cumulative) 13,900+ 16,500+ 25,000+ Increase Representation of Women and Ethnic Minorities in Leadership Roles Global Workforce by Gender (as a % of total) Women 48.0% 48.4% 47.2% Men 52.0% 51.6% 52.8% Representation of Women by Region (as a % of total) Americas26 49.5% 49.5% 47.3% EMEA 48.1% 48.9% 48.0% Asia Pacific 44.9% 45.5% 46.1% Representation of Women by Job Level (as a % of total) Vice President and Above 28.7% 31.6% 31.3% Director 34.3% 37.1% 36.1% Manager 42.5% 42.1% 40.4% Professional27 47.2% 47.8% 48.3% Ethnic Minority Representation (as a % of total, U.S. | [Page 12] •	 We work to reduce nonhazardous and regulated waste and to increase  recycling at our manufacturing and office facilities. | [Page 31] In 2021, 21 of our  manufacturing sites2 (41% of the total) achieved or  exceeded landfill diversion rates of 95%. | [Page 13] Operations:  In 2023, Baxter produced 78,600 metric tons  of total waste (down 2.6% from 2022), 70,100 metric tons   of nonhazardous waste (down 3.9% from 2022) and  8,500 metric tons of regulated waste (up 9.2% from 2022).16  In 2023, 71.8% of our total waste was diverted from  landfill, including 62.2% recycled and 9.6% incinerated  with energy recovery. | [Page 36] 20	 Excludes waste recycled on-site, remediation waste, construction and demolition debris, and wastewater treatment sludge.",https://www.baxter.com/sites/g/files/ebysai3896/files/2023-06/2022_Baxter_Corporate_Responsibility_Report.pdf | https://www.baxter.com/sites/g/files/ebysai3896/files/2022-06/Baxter_2021_Corporate_Responsibility_Report.pdf | https://www.baxter.com/sites/g/files/ebysai3896/files/2024-07/2023_Baxter_Corporate_Responsibility_Report.pdf,23 | 13 | 36 | 30 | 12 | 22 | 31,PDF,2022,2025-04-23T05:02:39.092203
BossCap,AU,Goal 12. Ensure sustainable consumption and production patterns,"In your organization, what is the recycling rate (measured by sum of recyclables + organics divided by total garbage, as the percentage of of all waste that is recycled? ",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S003,Q003,Manufacturing,[Page 6] Less to maintain More of an impact 10 200 100 50 10 How we compare.,https://bosscap.com.au/wp-content/uploads/2024/10/capability_statement_bosscap.pdf,6,PDF,2024,2025-04-23T05:03:50.907790
