Organization,Division,Industry,Country,SDG_Goals,Year Range Start,URL,File Type,Flag,Last Scraped
Telstra,Division J,Information Media And Telecommunications,AU,"Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development, Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all",2024,https://www.telstra.com.au/content/dam/tcom/about-us/community-environment/pdf/2024-Telstra-Bigger-Picture-Sustainability-Report-Remediated.pdf,PDF,Trusted,2025-06-05 18:17:18
Telstra,Division J,Information Media And Telecommunications,AU,"Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development, Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all",2024,https://www.telstrainternational.com/content/dam/tcom/about-us/community-environment/pdf/2024-Telstra-Modern-Slavery-Act-Statement-Remediated.pdf,PDF,Trusted,2025-06-05 18:17:18
Telstra,Division J,Information Media And Telecommunications,AU,"Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development, Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all",2024,https://www.telstra.com.au/content/dam/tcom/about-us/investors/pdf-g/telstra-annual-report-2024-interactive.pdf,PDF,Trusted,2025-06-05 18:17:18
Telstra,Division J,Information Media And Telecommunications,AU,"Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development, Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all",2024,https://www.bhp.com/-/media/documents/investors/annual-reports/2024/240827_bhpannualreport2024.pdf,PDF,Third-party,2025-06-05 18:17:18
Telstra,Division J,Information Media And Telecommunications,AU,"Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development, Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all",2024,https://www.worley.com/-/media/files/worley/investors/results-and-presentations/2024/wor-annual-report-2024.pdf,PDF,Third-party,2025-06-05 18:17:18
Telstra,Division J,Information Media And Telecommunications,AU,"Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development, Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all",2024,https://www.fionawoodfoundation.org.au/fionawoodfoundation/media/documents/fwf-2024-annual-report.pdf,PDF,Third-party,2025-06-05 18:17:18
Telstra,Division J,Information Media And Telecommunications,AU,"Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development, Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all",2024,https://www.csl.com/-/media/shared/documents/annual-report/csl-annual-report-2024.pdf,PDF,Third-party,2025-06-05 18:17:18
Telstra,Division J,Information Media And Telecommunications,AU,"Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development, Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all",2024,https://www.brambles.com/Content/cms/FY24-Results/pdf/Brambles_2024_Annual_Report.pdf,PDF,Third-party,2025-06-05 18:17:18
Telstra,Division J,Information Media And Telecommunications,AU,"Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development, Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all",2024,https://www.infosys.com/sustainability/documents/infosys-esg-report-2023-24.pdf,PDF,Third-party,2025-06-05 18:17:18
Telstra,Division J,Information Media And Telecommunications,AU,"Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development, Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all",2024,https://www.spglobal.com/esg/scores/results?cid=4160289,HTML,Third-party,2025-06-05 18:17:18
