Country,Industry,SDG Goal,Year,Document Type,Frequency,Matched Organizations
AU,"Division J, Division Q, Division B, Division C, Division D","SDG5, SDG7, SDG12, SDG17",2024,"PDF Document, HTML Webpage",6,
AU,"Division J, Division B, Division Q, Division C, Division D","SDG5, SDG12, SDG17, SDG7",2024,"HTML Webpage, PDF Document",4,
AU,"Division J, Division Q, Division B, Division C, Division D","SDG5, SDG7, SDG17, SDG12",2024,"PDF Document, HTML Webpage",4,
AU,Division J,SDG7,2024,"HTML Webpage, PDF Document",6,
AU,"Division J, Division Q, Division B","SDG7, SDG17",2024,"PDF Document, HTML Webpage",5,
AU,"Division B, Division C, Division D, Division J","SDG5, SDG12, SDG17",2024,"HTML Webpage, PDF Document",3,
AU,"Division Q, Division B, Division J, Division D, Division C","SDG7, SDG17, SDG12",2024,"PDF Document, HTML Webpage",4,
AU,"Division Q, Division C","SDG7, SDG17",2024,"HTML Webpage, PDF Document",3,
AU,"Division J, Division B, Division Q, Division C, Division D","SDG5, SDG12, SDG17, SDG7",2024,"PDF Document, HTML Webpage",3,
AU,"Division J, Division Q, Division B, Division C, Division D","SDG5, SDG7, SDG12, SDG17",2024,"PDF Document, HTML Webpage",6,
AU,"Division J, Division B, Division Q, Division C, Division D","SDG5, SDG12, SDG17, SDG7",2024,"PDF Document, HTML Webpage",6,
AU,"Division Q, Division J, Division B, Division D, Division C","SDG5, SDG7, SDG17, SDG12",2024,"PDF Document, HTML Webpage",6,
AU,"Division J, Division Q, Division B, Division C, Division D",SDG5,2024,"HTML Webpage, PDF Document",6,
AU,"Division J, Division Q, Division B, Division C, Division D","SDG5, SDG7",2024,"HTML Webpage, PDF Document",6,
AU,"Division J, Division Q, Division B, Division C, Division D","SDG5, SDG7, SDG17",2024,"HTML Webpage, PDF Document",6,
AU,"Division J, Division Q, Division B, Division C, Division D","SDG5, SDG7, SDG17, SDG12",2024,"HTML Webpage, PDF Document",6,
AU,"Division J, Division Q, Division B, Division C, Division D","SDG5, SDG7, SDG17, SDG12",2024,"HTML Webpage, PDF Document",6,
AU,"Division Q, Division J, Division B, Division C, Division D","SDG7, SDG17, SDG12, SDG5",2024,"PDF Document, HTML Webpage",6,
